Habitability_Rank,P_NAME,P_RADIUS,P_MASS,P_DENSITY,P_TEMP_SURF,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_LUMINOSITY,S_METALLICITY,Predicted_Habitability_Probability,P_HABITABLE_BINARY
90,Kepler-991 b,-0.6149660568778418,-0.4399868803259337,-0.3640670063569856,-1.2440912115430305,-0.16348189055216478,-0.19813836399041201,-1.3151540684799927,-0.7369168911933314,-1.7630575266879842,0.35616072995343934,0
91,K2-125 b,-0.6877830390507261,-0.44273566954328675,-0.1605977232986001,-1.24100140196547,-0.3347005361485047,-0.40220796114494023,-2.318393245983328,-0.7956503198521166,0.0274875818792235,0.34479876341154536,0
92,K2-155 d,-0.7444184696296362,-0.44465982199543386,0.06149913439022575,-1.239361633051968,-0.28127149710702326,-0.32387712844623795,-1.497430111197505,-0.7821825935168311,-2.09463995420043,0.34068571840815215,0
93,Kepler-1455 b,-0.6918284269492196,-0.4428731090041544,-0.14616303907986025,-1.2402678228794644,-0.25716284566318065,-0.3010351249632601,-1.7463593337147048,-0.7754058803749426,-0.2377783601307332,0.33912133069605843,0
94,LkCa 15 b,-0.566421402095919,-0.4369632121868454,-0.25547905306290436,-1.5296777573189246,-0.363351620508869,3.2880685449493465,-1.5844873256297498,-0.4838205080463671,1.6190832339389636,0.3323853700551609,0
95,LkCa 15 c,-0.566421402095919,-0.4369632121868454,-0.25547905306290436,-1.5296777573189246,-0.363351620508869,3.2880685449493465,-1.5844873256297498,-0.4838205080463671,1.6190832339389636,0.3323853700551609,0
96,Kepler-438 b,-0.9021885976708856,-0.44948738305841,0.966248398582721,-1.2369220016442435,-0.29672131819400527,-0.3537225763933364,-2.191167288704455,-0.7898840780188449,0.9559183789140718,0.32894663934022,0
97,MWC 758 c,-0.566421402095919,-0.4369632121868454,-0.25547905306290436,-1.5296777573189246,-0.363351620508869,3.2880685449493465,1.3194148832758108,3.2951516246174632,0.0274875818792235,0.3221037914155074,0
98,GJ 180 b,-0.6372156903195565,-0.4408458769563565,-0.3081671064089681,-1.24379204167822,-0.34770662071868363,-0.4334540979848627,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.3147316315819493,0
99,Kepler-47 c,-0.18817763358676978,-0.446549614582364,-1.1568855560955968,-1.3309912997325013,0.4581738225526476,0.5058694226028757,0.37702053704676397,-0.38323348962541487,-1.7630575266879842,0.22410060180848262,0
100,Kepler-69 c,-0.7828496546653251,-0.4458624172780257,0.2600338080171491,-1.2007623152303903,0.2870066912891722,0.15699014299022412,0.3797410749977716,-0.40348956551178683,-2.028323468697941,0.22174458214850237,0
101,Kepler-1126 c,-0.8354396973457415,-0.44735707141496145,0.6328156899578758,-1.1882662472920582,0.16646703962256554,0.1346868660044863,0.43415183401792456,-0.40536812411084827,-2.09463995420043,0.1885470191586071,0
102,Kepler-1040 b,-0.708009978543194,-0.4434400467802334,-0.08863284689328359,-1.1860119267123705,0.17055889113680095,0.1741216456024575,0.45591613762598576,-0.3504207949952653,-0.03882890362326567,0.18773783249292542,0
103,tau Cet e,-0.7626227151728572,-0.4452439397041213,0.14883664668178648,-1.2256531817212917,0.06281089506645697,0.04708993755325543,-0.06642714896748256,-0.5590861140302058,-2.09463995420043,0.18004819824299786,0
104,Kepler-311 d,-0.7140780603909344,-0.44364620597153487,-0.06534656545639103,-1.1213607115314068,0.25765250726952404,0.25676229027908004,0.7402123535062849,-0.015133052667708799,-0.7683102441506466,0.1797972517744246,0
105,PSR B0329+54 b,-0.8819616581784177,-0.44861120649537867,1.0654686803837163,-0.12523437080561237,3.673799998797402,3.2880685449493465,0.26683875003095425,-0.37323801982520044,0.0274875818792235,0.17648674150895574,0
106,Kepler-1090 b,-0.6736241814059987,-0.442220271565033,-0.20560075070580647,-1.2186666542848041,0.16368236993844368,0.15311131221009577,-0.051464190236940495,-0.447113029005479,-0.37041133113571156,0.16587148345405442,0
107,Kepler-1552 b,-0.6291249145225692,-0.4405538181020127,-0.3306172548001628,-1.223009355009014,0.12450485784254527,0.11874056168618112,-0.21333619832189551,-0.4905587126053556,-0.5693607876431791,0.14454942351612018,0
108,Kepler-1600 b,-0.4956271138722814,-0.4348844403412222,-0.585006814512232,-1.4205149165828839,0.6923757314677318,0.5138425747620283,-0.19701297061584963,-0.5781575546318434,0.35907000939166944,0.14281045477577428,0
109,Kepler-1097 b,-0.46933209253207325,-0.4336131253281965,-0.6196836226908629,-1.2892436414997166,0.13288545784538347,0.09137325562638685,-0.2010937775423611,-0.6107121571043401,-0.8346267296531358,0.13867060244287363,0
